time,description,amount,category,transaction_type
2025-01-01 01:57:30,Child Expenses,-161.79,Child Expenses,Expense
2025-01-01 04:33:30,Dining Out,-20.96,Dining Out,Expense
2025-01-01 06:14:59,Child Expenses,-87.42,Child Expenses,Expense
2025-01-01 07:30:00,Starbucks,-4.28,Coffee,Expense
2025-01-01 08:53:41,Online Subscription,-16.57,Online Subscription,Expense
2025-01-01 09:00:00,Salary,4000.0,Income,Deposit
2025-01-01 10:16:33,Child Expenses,-170.17,Child Expenses,Expense
2025-01-01 11:20:30,Transportation,-22.68,Transportation,Expense
2025-01-01 11:21:34,Transportation,-18.45,Transportation,Expense
2025-01-01 11:25:25,Dining Out,-13.87,Dining Out,Expense
2025-01-01 14:15:53,Groceries,-46.55,Groceries,Expense
2025-01-01 22:49:43,Child Expenses,-57.28,Child Expenses,Expense
2025-01-02 01:18:42,Child Expenses,-85.71,Child Expenses,Expense
2025-01-02 01:50:18,Groceries,-21.8,Groceries,Expense
2025-01-02 04:11:00,Dining Out,-23.82,Dining Out,Expense
2025-01-02 06:44:53,Groceries,-67.41,Groceries,Expense
2025-01-02 07:29:13,Online Subscription,-19.34,Online Subscription,Expense
2025-01-02 07:30:00,Starbucks,-3.59,Coffee,Expense
2025-01-02 18:03:09,Child Expenses,-162.47,Child Expenses,Expense
2025-01-02 20:28:47,Online Subscription,-9.23,Online Subscription,Expense
2025-01-02 23:03:05,Child Expenses,-233.71,Child Expenses,Expense
2025-01-02 23:04:15,Online Subscription,-18.98,Online Subscription,Expense
2025-01-02 23:42:50,Transportation,-17.48,Transportation,Expense
2025-01-03 01:02:16,Online Subscription,-15.4,Online Subscription,Expense
2025-01-03 07:30:00,Starbucks,-4.44,Coffee,Expense
2025-01-03 07:39:28,Misc Income,164.99,Income,Deposit
2025-01-03 08:43:29,Child Expenses,-209.09,Child Expenses,Expense
2025-01-03 13:35:22,Child Expenses,-241.89,Child Expenses,Expense
2025-01-03 14:29:34,Dining Out,-21.5,Dining Out,Expense
2025-01-03 14:34:22,Utilities,-53.72,Utilities,Expense
2025-01-03 17:56:03,Child Expenses,-182.48,Child Expenses,Expense
2025-01-03 19:48:35,Groceries,-30.38,Groceries,Expense
2025-01-03 21:08:21,Utilities,-44.87,Utilities,Expense
2025-01-03 21:28:53,Dining Out,-31.5,Dining Out,Expense
2025-01-04 01:07:50,Online Subscription,-16.03,Online Subscription,Expense
2025-01-04 05:52:05,Utilities,-59.04,Utilities,Expense
2025-01-04 07:30:00,Starbucks,-4.17,Coffee,Expense
2025-01-04 12:57:52,Misc Income,75.15,Income,Deposit
2025-01-04 15:25:38,Dining Out,-22.2,Dining Out,Expense
2025-01-04 16:18:26,Misc Income,261.22,Income,Deposit
2025-01-04 18:04:55,Groceries,-76.62,Groceries,Expense
2025-01-04 21:45:57,Misc Income,51.35,Income,Deposit
2025-01-04 22:37:49,Utilities,-49.48,Utilities,Expense
2025-01-04 23:06:54,Groceries,-94.26,Groceries,Expense
2025-01-04 23:39:32,Transportation,-18.58,Transportation,Expense
2025-01-05 00:36:41,Utilities,-46.82,Utilities,Expense
2025-01-05 02:07:26,Utilities,-57.3,Utilities,Expense
2025-01-05 04:33:39,Misc Income,192.91,Income,Deposit
2025-01-05 04:49:51,Dining Out,-15.2,Dining Out,Expense
2025-01-05 07:30:00,Starbucks,-4.81,Coffee,Expense
2025-01-05 07:46:43,Child Expenses,-82.19,Child Expenses,Expense
2025-01-05 08:51:23,Online Subscription,-13.55,Online Subscription,Expense
2025-01-05 09:12:22,Groceries,-51.97,Groceries,Expense
