time,description,amount,category,transaction_type
2025-01-01 01:58:25,Transportation,-29.92,Transportation,Expense
2025-01-01 07:30:00,Starbucks,-3.73,Coffee,Expense
2025-01-01 07:36:03,Misc Income,270.56,Income,Deposit
2025-01-01 07:43:09,Transportation,-10.67,Transportation,Expense
2025-01-01 08:00:00,Rent,-900.0,Rent,Expense
2025-01-01 10:16:52,Transportation,-26.27,Transportation,Expense
2025-01-01 16:04:58,Online Subscription,-11.19,Online Subscription,Expense
2025-01-01 17:05:39,Groceries,-95.93,Groceries,Expense
2025-01-01 17:52:32,Utilities,-35.74,Utilities,Expense
2025-01-01 18:06:53,Dining Out,-25.33,Dining Out,Expense
2025-01-01 18:56:30,Misc Income,259.13,Income,Deposit
2025-01-01 20:02:58,Groceries,-30.29,Groceries,Expense
2025-01-02 05:45:56,Groceries,-88.61,Groceries,Expense
2025-01-02 07:30:00,Starbucks,-4.51,Coffee,Expense
2025-01-02 11:37:48,Online Subscription,-8.6,Online Subscription,Expense
2025-01-02 13:46:21,Groceries,-34.31,Groceries,Expense
2025-01-02 15:19:26,Transportation,-21.82,Transportation,Expense
2025-01-02 15:46:20,Groceries,-91.94,Groceries,Expense
2025-01-02 17:26:04,Online Subscription,-10.89,Online Subscription,Expense
2025-01-02 17:36:45,Utilities,-62.39,Utilities,Expense
2025-01-02 18:29:21,Misc Income,102.71,Income,Deposit
2025-01-02 19:13:06,Online Subscription,-9.87,Online Subscription,Expense
2025-01-02 22:29:41,Utilities,-30.63,Utilities,Expense
2025-01-03 00:02:53,Transportation,-23.7,Transportation,Expense
2025-01-03 02:47:16,Groceries,-64.42,Groceries,Expense
2025-01-03 06:04:18,Online Subscription,-10.01,Online Subscription,Expense
2025-01-03 07:30:00,Starbucks,-4.39,Coffee,Expense
2025-01-03 07:47:41,Misc Income,135.02,Income,Deposit
2025-01-03 09:01:16,Entertainment,-39.24,Entertainment,Expense
2025-01-03 09:37:59,Dining Out,-36.1,Dining Out,Expense
2025-01-03 15:05:25,Online Subscription,-15.85,Online Subscription,Expense
2025-01-03 17:21:51,Transportation,-23.82,Transportation,Expense
2025-01-03 17:53:13,Dining Out,-19.5,Dining Out,Expense
2025-01-03 19:23:17,Misc Income,260.96,Income,Deposit
2025-01-04 00:40:01,Utilities,-67.18,Utilities,Expense
2025-01-04 01:39:16,Online Subscription,-12.24,Online Subscription,Expense
2025-01-04 02:29:58,Utilities,-46.31,Utilities,Expense
2025-01-04 06:24:30,Entertainment,-13.43,Entertainment,Expense
2025-01-04 07:30:00,Starbucks,-4.71,Coffee,Expense
2025-01-04 07:33:12,Entertainment,-32.54,Entertainment,Expense
2025-01-04 16:35:57,Entertainment,-38.44,Entertainment,Expense
2025-01-04 17:52:31,Utilities,-46.31,Utilities,Expense
2025-01-04 19:53:21,Groceries,-86.36,Groceries,Expense
2025-01-04 20:48:30,Transportation,-11.73,Transportation,Expense
2025-01-04 21:48:30,Misc Income,120.24,Income,Deposit
2025-01-05 00:57:59,Dining Out,-18.35,Dining Out,Expense
2025-01-05 03:13:33,Groceries,-48.99,Groceries,Expense
2025-01-05 06:36:13,Online Subscription,-12.22,Online Subscription,Expense
2025-01-05 07:04:26,Dining Out,-38.96,Dining Out,Expense
2025-01-05 07:30:00,Starbucks,-4.44,Coffee,Expense
2025-01-05 08:33:39,Groceries,-54.14,Groceries,Expense
2025-01-05 09:04:39,Entertainment,-14.72,Entertainment,Expense
2025-01-05 15:07:40,Online Subscription,-11.55,Online Subscription,Expense
2025-01-05 17:40:43,Online Subscription,-10.51,Online Subscription,Expense
2025-01-05 19:29:17,Utilities,-39.79,Utilities,Expense
2025-01-05 22:33:31,Dining Out,-12.52,Dining Out,Expense
2025-01-06 01:44:28,Entertainment,-21.63,Entertainment,Expense
2025-01-06 04:32:12,Dining Out,-13.5,Dining Out,Expense
2025-01-06 05:00:21,Utilities,-63.02,Utilities,Expense
2025-01-06 07:30:00,Starbucks,-4.88,Coffee,Expense
2025-01-06 08:11:46,Utilities,-31.65,Utilities,Expense
2025-01-06 10:42:10,Online Subscription,-8.01,Online Subscription,Expense
2025-01-06 19:16:33,Groceries,-98.01,Groceries,Expense
2025-01-06 19:17:21,Misc Income,222.59,Income,Deposit
2025-01-06 21:18:20,Online Subscription,-17.84,Online Subscription,Expense
2025-01-06 21:53:48,Misc Income,289.42,Income,Deposit
2025-01-06 23:15:35,Groceries,-25.18,Groceries,Expense
2025-01-07 00:45:52,Dining Out,-15.05,Dining Out,Expense
2025-01-07 02:09:31,Utilities,-32.81,Utilities,Expense
2025-01-07 02:12:15,Utilities,-38.84,Utilities,Expense
2025-01-07 03:03:29,Entertainment,-49.5,Entertainment,Expense
2025-01-07 07:30:00,Starbucks,-4.3,Coffee,Expense
2025-01-07 11:29:31,Utilities,-37.76,Utilities,Expense
2025-01-07 12:00:00,Freelance Payment,800.0,Income,Deposit
2025-01-07 19:51:33,Entertainment,-40.3,Entertainment,Expense
2025-01-07 20:07:10,Misc Income,90.5,Income,Deposit
2025-01-07 21:09:43,Utilities,-54.87,Utilities,Expense
2025-01-07 21:18:35,Transportation,-21.4,Transportation,Expense
2025-01-07 23:50:38,Misc Income,233.17,Income,Deposit
2025-01-08 01:17:09,Misc Income,152.69,Income,Deposit
2025-01-08 07:30:00,Starbucks,-4.34,Coffee,Expense
2025-01-08 07:50:53,Utilities,-46.23,Utilities,Expense
2025-01-08 08:30:51,Entertainment,-27.89,Entertainment,Expense
2025-01-08 09:51:42,Online Subscription,-9.34,Online Subscription,Expense
2025-01-08 11:24:10,Entertainment,-47.28,Entertainment,Expense
2025-01-08 11:42:54,Groceries,-71.05,Groceries,Expense
2025-01-08 18:02:20,Dining Out,-17.89,Dining Out,Expense
2025-01-08 18:19:07,Dining Out,-35.07,Dining Out,Expense
2025-01-08 20:09:25,Dining Out,-35.62,Dining Out,Expense
2025-01-08 21:33:52,Online Subscription,-8.67,Online Subscription,Expense
2025-01-09 03:07:11,Dining Out,-24.9,Dining Out,Expense
2025-01-09 07:30:00,Starbucks,-3.89,Coffee,Expense
2025-01-09 09:00:32,Transportation,-17.48,Transportation,Expense
2025-01-09 11:17:08,Groceries,-81.33,Groceries,Expense
2025-01-09 12:24:15,Dining Out,-19.32,Dining Out,Expense
2025-01-09 12:44:55,Dining Out,-28.54,Dining Out,Expense
2025-01-09 13:16:48,Utilities,-42.95,Utilities,Expense
2025-01-09 18:07:32,Groceries,-34.93,Groceries,Expense
2025-01-09 18:30:51,Transportation,-28.64,Transportation,Expense
2025-01-09 20:19:31,Groceries,-39.6,Groceries,Expense
2025-01-09 20:49:43,Misc Income,242.16,Income,Deposit
2025-01-10 00:43:21,Transportation,-21.84,Transportation,Expense
2025-01-10 03:55:02,Groceries,-32.51,Groceries,Expense
2025-01-10 05:21:59,Online Subscription,-14.76,Online Subscription,Expense
2025-01-10 07:30:00,Starbucks,-3.68,Coffee,Expense
2025-01-10 08:08:51,Online Subscription,-11.39,Online Subscription,Expense
2025-01-10 09:13:28,Entertainment,-17.49,Entertainment,Expense
2025-01-10 09:16:30,Utilities,-59.14,Utilities,Expense
2025-01-10 12:46:59,Misc Income,129.35,Income,Deposit
2025-01-10 13:53:11,Utilities,-61.49,Utilities,Expense
2025-01-10 18:45:11,Entertainment,-48.35,Entertainment,Expense
2025-01-10 22:18:09,Utilities,-33.01,Utilities,Expense
2025-01-11 03:15:25,Transportation,-24.34,Transportation,Expense
2025-01-11 05:19:00,Entertainment,-28.49,Entertainment,Expense
2025-01-11 06:32:43,Dining Out,-11.02,Dining Out,Expense
2025-01-11 06:43:21,Utilities,-59.41,Utilities,Expense
2025-01-11 07:30:00,Starbucks,-4.0,Coffee,Expense
2025-01-11 08:27:47,Transportation,-9.83,Transportation,Expense
2025-01-11 09:31:27,Transportation,-14.66,Transportation,Expense
2025-01-11 11:26:04,Misc Income,183.13,Income,Deposit
2025-01-11 15:54:33,Groceries,-23.89,Groceries,Expense
2025-01-11 16:02:48,Dining Out,-38.25,Dining Out,Expense
2025-01-11 20:35:37,Groceries,-72.8,Groceries,Expense
2025-01-12 00:17:32,Entertainment,-17.55,Entertainment,Expense
2025-01-12 00:31:09,Dining Out,-25.68,Dining Out,Expense
2025-01-12 02:33:44,Transportation,-26.73,Transportation,Expense
2025-01-12 03:46:07,Transportation,-14.61,Transportation,Expense
2025-01-12 04:05:09,Dining Out,-21.41,Dining Out,Expense
2025-01-12 07:01:24,Utilities,-47.87,Utilities,Expense
2025-01-12 07:02:42,Entertainment,-25.11,Entertainment,Expense
2025-01-12 07:20:57,Online Subscription,-18.22,Online Subscription,Expense
2025-01-12 07:30:00,Starbucks,-4.61,Coffee,Expense
2025-01-12 09:08:43,Online Subscription,-18.45,Online Subscription,Expense
2025-01-12 10:19:36,Groceries,-96.79,Groceries,Expense
2025-01-13 06:23:03,Online Subscription,-10.74,Online Subscription,Expense
2025-01-13 07:30:00,Starbucks,-4.43,Coffee,Expense
2025-01-13 07:59:33,Online Subscription,-12.37,Online Subscription,Expense
2025-01-13 09:01:55,Transportation,-7.95,Transportation,Expense
2025-01-13 11:21:26,Groceries,-46.41,Groceries,Expense
2025-01-13 11:26:51,Dining Out,-23.34,Dining Out,Expense
2025-01-13 12:40:54,Dining Out,-30.24,Dining Out,Expense
2025-01-13 13:03:53,Online Subscription,-13.4,Online Subscription,Expense
2025-01-13 17:42:56,Dining Out,-20.14,Dining Out,Expense
2025-01-13 20:34:38,Dining Out,-14.11,Dining Out,Expense
2025-01-13 22:50:22,Online Subscription,-11.53,Online Subscription,Expense
2025-01-14 07:30:00,Starbucks,-3.62,Coffee,Expense
2025-01-14 09:04:16,Entertainment,-37.71,Entertainment,Expense
2025-01-14 09:58:55,Online Subscription,-15.42,Online Subscription,Expense
2025-01-14 12:00:00,Freelance Payment,800.0,Income,Deposit
2025-01-14 12:21:51,Transportation,-11.12,Transportation,Expense
2025-01-14 12:37:38,Online Subscription,-17.21,Online Subscription,Expense
2025-01-14 14:55:12,Entertainment,-29.48,Entertainment,Expense
2025-01-14 18:35:23,Groceries,-75.95,Groceries,Expense
2025-01-14 18:47:06,Transportation,-10.78,Transportation,Expense
2025-01-14 20:35:49,Dining Out,-23.28,Dining Out,Expense
2025-01-14 22:42:00,Utilities,-55.88,Utilities,Expense
2025-01-14 22:52:01,Misc Income,235.1,Income,Deposit
2025-01-15 02:13:08,Transportation,-11.28,Transportation,Expense
2025-01-15 06:36:52,Utilities,-55.67,Utilities,Expense
2025-01-15 07:30:00,Starbucks,-4.36,Coffee,Expense
2025-01-15 09:39:10,Utilities,-40.09,Utilities,Expense
2025-01-15 10:40:39,Online Subscription,-8.87,Online Subscription,Expense
2025-01-15 12:22:19,Utilities,-34.52,Utilities,Expense
2025-01-15 14:24:17,Entertainment,-19.12,Entertainment,Expense
2025-01-15 18:54:26,Groceries,-77.56,Groceries,Expense
2025-01-15 19:15:51,Transportation,-18.0,Transportation,Expense
2025-01-15 19:26:26,Transportation,-19.8,Transportation,Expense
2025-01-15 19:49:30,Online Subscription,-18.62,Online Subscription,Expense
2025-01-16 02:38:31,Transportation,-8.96,Transportation,Expense
2025-01-16 02:40:07,Groceries,-48.51,Groceries,Expense
2025-01-16 03:21:10,Transportation,-24.8,Transportation,Expense
2025-01-16 04:21:37,Misc Income,263.48,Income,Deposit
2025-01-16 07:30:00,Starbucks,-3.57,Coffee,Expense
2025-01-16 15:59:59,Online Subscription,-9.19,Online Subscription,Expense
2025-01-16 16:16:37,Dining Out,-34.8,Dining Out,Expense
2025-01-16 18:33:11,Dining Out,-18.01,Dining Out,Expense
2025-01-16 18:42:34,Transportation,-10.52,Transportation,Expense
2025-01-16 22:49:05,Online Subscription,-16.88,Online Subscription,Expense
2025-01-16 23:30:36,Entertainment,-30.92,Entertainment,Expense
2025-01-17 01:26:04,Transportation,-29.09,Transportation,Expense
2025-01-17 01:26:37,Online Subscription,-19.63,Online Subscription,Expense
2025-01-17 03:01:03,Dining Out,-31.52,Dining Out,Expense
2025-01-17 04:46:23,Entertainment,-38.89,Entertainment,Expense
2025-01-17 07:30:00,Starbucks,-3.6,Coffee,Expense
2025-01-17 09:28:19,Online Subscription,-11.35,Online Subscription,Expense
2025-01-17 10:36:08,Misc Income,236.38,Income,Deposit
2025-01-17 13:53:26,Entertainment,-14.32,Entertainment,Expense
2025-01-17 16:38:57,Transportation,-6.79,Transportation,Expense
2025-01-17 20:28:12,Entertainment,-32.04,Entertainment,Expense
2025-01-17 20:28:53,Dining Out,-22.19,Dining Out,Expense
2025-01-18 05:51:50,Dining Out,-22.79,Dining Out,Expense
2025-01-18 07:14:12,Online Subscription,-11.82,Online Subscription,Expense
2025-01-18 07:30:00,Starbucks,-4.75,Coffee,Expense
2025-01-18 12:25:08,Groceries,-46.99,Groceries,Expense
2025-01-18 14:51:38,Online Subscription,-19.67,Online Subscription,Expense
2025-01-18 18:25:25,Entertainment,-35.38,Entertainment,Expense
2025-01-18 18:45:14,Transportation,-8.11,Transportation,Expense
2025-01-18 19:32:06,Transportation,-28.23,Transportation,Expense
2025-01-18 20:15:32,Transportation,-10.24,Transportation,Expense
2025-01-18 21:55:34,Online Subscription,-13.04,Online Subscription,Expense
2025-01-18 23:53:54,Transportation,-10.94,Transportation,Expense
2025-01-19 01:21:33,Entertainment,-19.46,Entertainment,Expense
2025-01-19 01:49:38,Online Subscription,-16.75,Online Subscription,Expense
2025-01-19 05:00:36,Online Subscription,-9.5,Online Subscription,Expense
2025-01-19 07:30:00,Starbucks,-4.48,Coffee,Expense
2025-01-19 10:07:56,Groceries,-44.77,Groceries,Expense
2025-01-19 11:15:40,Utilities,-52.43,Utilities,Expense
2025-01-19 15:34:29,Online Subscription,-15.53,Online Subscription,Expense
2025-01-19 17:16:37,Misc Income,228.74,Income,Deposit
2025-01-19 18:21:07,Groceries,-92.26,Groceries,Expense
2025-01-19 22:27:40,Dining Out,-30.09,Dining Out,Expense
