time,description,amount,category,transaction_type
2025-01-01 01:46:11,Groceries,-35.6,Groceries,Expense
2025-01-01 03:51:38,Misc Income,178.53,Income,Deposit
2025-01-01 09:00:00,Pension,2000.0,Income,Deposit
2025-01-01 09:00:00,Local Diner,-5.2,Coffee,Expense
2025-01-01 10:22:17,Medical,-71.29,Medical,Expense
2025-01-01 12:27:25,Misc Income,135.05,Income,Deposit
2025-01-01 14:17:02,Transportation,-27.79,Transportation,Expense
2025-01-01 15:35:27,Medical,-95.77,Medical,Expense
2025-01-01 17:46:53,Groceries,-51.79,Groceries,Expense
2025-01-01 19:35:09,Utilities,-30.73,Utilities,Expense
2025-01-01 21:17:38,Utilities,-33.93,Utilities,Expense
2025-01-01 22:17:33,Online Subscription,-16.14,Online Subscription,Expense
2025-01-02 03:22:45,Dining Out,-36.11,Dining Out,Expense
2025-01-02 07:57:23,Medical,-114.8,Medical,Expense
2025-01-02 08:47:32,Transportation,-16.15,Transportation,Expense
2025-01-02 09:00:00,Local Diner,-3.84,Coffee,Expense
2025-01-02 09:05:21,Dining Out,-17.38,Dining Out,Expense
2025-01-02 12:11:46,Medical,-95.41,Medical,Expense
2025-01-02 14:51:23,Online Subscription,-17.61,Online Subscription,Expense
2025-01-02 18:43:18,Medical,-124.73,Medical,Expense
2025-01-02 18:57:34,Online Subscription,-18.93,Online Subscription,Expense
2025-01-02 21:45:45,Transportation,-11.11,Transportation,Expense
2025-01-02 23:47:41,Dining Out,-13.19,Dining Out,Expense
2025-01-03 02:59:25,Dining Out,-34.3,Dining Out,Expense
2025-01-03 06:08:57,Groceries,-78.53,Groceries,Expense
2025-01-03 06:24:28,Dining Out,-17.31,Dining Out,Expense
2025-01-03 06:25:27,Utilities,-62.41,Utilities,Expense
2025-01-03 06:56:53,Dining Out,-29.05,Dining Out,Expense
2025-01-03 07:05:36,Utilities,-54.5,Utilities,Expense
2025-01-03 09:00:00,Local Diner,-3.48,Coffee,Expense
2025-01-03 13:05:14,Online Subscription,-15.5,Online Subscription,Expense
2025-01-03 14:27:17,Misc Income,132.0,Income,Deposit
2025-01-03 18:39:31,Misc Income,256.39,Income,Deposit
2025-01-03 22:13:36,Misc Income,136.49,Income,Deposit
2025-01-04 02:05:09,Groceries,-86.62,Groceries,Expense
2025-01-04 07:25:57,Utilities,-56.29,Utilities,Expense
2025-01-04 07:49:47,Dining Out,-25.3,Dining Out,Expense
2025-01-04 09:00:00,Local Diner,-3.78,Coffee,Expense
2025-01-04 09:47:47,Utilities,-52.04,Utilities,Expense
2025-01-04 14:03:15,Medical,-120.12,Medical,Expense
2025-01-04 15:57:42,Medical,-74.96,Medical,Expense
2025-01-04 16:41:11,Online Subscription,-11.05,Online Subscription,Expense
2025-01-04 16:54:41,Misc Income,136.79,Income,Deposit
2025-01-04 20:17:23,Utilities,-38.97,Utilities,Expense
2025-01-04 23:24:48,Misc Income,57.95,Income,Deposit
2025-01-05 00:26:07,Online Subscription,-9.15,Online Subscription,Expense
2025-01-05 02:01:59,Transportation,-12.3,Transportation,Expense
2025-01-05 02:31:15,Medical,-113.83,Medical,Expense
2025-01-05 07:31:45,Utilities,-44.4,Utilities,Expense
2025-01-05 09:00:00,Local Diner,-5.61,Coffee,Expense
2025-01-05 09:36:04,Medical,-76.54,Medical,Expense
2025-01-05 18:37:47,Misc Income,258.06,Income,Deposit
2025-01-05 19:39:15,Dining Out,-11.6,Dining Out,Expense
2025-01-05 19:42:00,Utilities,-31.51,Utilities,Expense
2025-01-05 21:13:12,Medical,-27.5,Medical,Expense
2025-01-05 22:22:25,Misc Income,219.36,Income,Deposit
2025-01-06 00:27:42,Online Subscription,-11.55,Online Subscription,Expense
2025-01-06 05:34:43,Transportation,-21.13,Transportation,Expense
2025-01-06 08:11:17,Online Subscription,-19.29,Online Subscription,Expense
2025-01-06 09:00:00,Local Diner,-5.04,Coffee,Expense
2025-01-06 09:40:55,Transportation,-20.24,Transportation,Expense
2025-01-06 12:26:33,Dining Out,-24.08,Dining Out,Expense
2025-01-06 16:02:44,Utilities,-66.5,Utilities,Expense
2025-01-06 20:47:04,Online Subscription,-10.48,Online Subscription,Expense
2025-01-06 20:56:50,Dining Out,-17.53,Dining Out,Expense
2025-01-06 22:38:37,Groceries,-63.6,Groceries,Expense
2025-01-06 23:56:16,Misc Income,99.58,Income,Deposit
2025-01-07 03:40:17,Medical,-131.27,Medical,Expense
2025-01-07 09:00:00,Local Diner,-5.14,Coffee,Expense
2025-01-07 10:18:16,Medical,-127.41,Medical,Expense
2025-01-07 10:27:16,Groceries,-51.51,Groceries,Expense
2025-01-07 11:18:06,Medical,-68.65,Medical,Expense
2025-01-07 13:41:01,Groceries,-26.3,Groceries,Expense
2025-01-07 14:40:35,Medical,-123.59,Medical,Expense
2025-01-07 17:12:27,Groceries,-30.27,Groceries,Expense
2025-01-07 22:43:15,Dining Out,-39.14,Dining Out,Expense
2025-01-07 23:08:28,Medical,-103.31,Medical,Expense
2025-01-07 23:25:33,Dining Out,-11.02,Dining Out,Expense
2025-01-08 00:22:06,Utilities,-50.16,Utilities,Expense
2025-01-08 04:47:16,Transportation,-18.44,Transportation,Expense
2025-01-08 06:10:30,Medical,-139.41,Medical,Expense
2025-01-08 08:08:18,Groceries,-52.08,Groceries,Expense
2025-01-08 08:21:18,Utilities,-56.08,Utilities,Expense
2025-01-08 09:00:00,Local Diner,-4.33,Coffee,Expense
2025-01-08 10:25:19,Dining Out,-36.87,Dining Out,Expense
2025-01-08 13:06:52,Utilities,-67.73,Utilities,Expense
2025-01-08 13:28:46,Dining Out,-18.39,Dining Out,Expense
2025-01-08 17:33:47,Groceries,-66.53,Groceries,Expense
2025-01-08 21:01:23,Utilities,-35.7,Utilities,Expense
2025-01-09 00:43:29,Medical,-73.86,Medical,Expense
2025-01-09 01:50:26,Medical,-67.67,Medical,Expense
2025-01-09 03:52:12,Medical,-83.37,Medical,Expense
2025-01-09 04:59:57,Groceries,-61.32,Groceries,Expense
2025-01-09 09:00:00,Local Diner,-4.88,Coffee,Expense
2025-01-09 09:54:30,Misc Income,294.13,Income,Deposit
2025-01-09 16:45:07,Medical,-105.79,Medical,Expense
2025-01-09 18:57:37,Transportation,-12.29,Transportation,Expense
2025-01-09 23:07:10,Dining Out,-37.96,Dining Out,Expense
2025-01-09 23:11:07,Transportation,-24.62,Transportation,Expense
2025-01-09 23:21:57,Online Subscription,-19.56,Online Subscription,Expense
2025-01-10 00:41:04,Misc Income,217.62,Income,Deposit
2025-01-10 00:58:00,Misc Income,274.86,Income,Deposit
