time,description,amount,category,transaction_type
2023-09-01 02:34:30,Online Subscription,-15.99,Online Subscription,Expense
2023-09-01 02:48:26,Books,-29.59,Books,Expense
2023-09-01 03:03:14,Transportation,-18.64,Transportation,Expense
2023-09-01 03:46:34,Groceries,-53.97,Groceries,Expense
2023-09-01 04:22:56,Books,-58.35,Books,Expense
2023-09-01 07:30:00,Starbucks,-4.49,Coffee,Expense
2023-09-01 07:36:10,Misc Income,279.57,Income,Deposit
2023-09-01 08:00:00,Rent,-700.0,Rent,Expense
2023-09-01 09:00:00,Scholarship,500.0,Income,Deposit
2023-09-01 09:10:57,Transportation,-29.86,Transportation,Expense
2023-09-01 09:48:49,Transportation,-21.79,Transportation,Expense
2023-09-01 15:37:46,Online Subscription,-18.61,Online Subscription,Expense
2023-09-01 15:47:09,Online Subscription,-9.54,Online Subscription,Expense
2023-09-02 02:11:16,Books,-46.82,Books,Expense
2023-09-02 03:22:26,Online Subscription,-8.59,Online Subscription,Expense
2023-09-02 05:29:36,Groceries,-59.13,Groceries,Expense
2023-09-02 07:30:00,Starbucks,-3.55,Coffee,Expense
2023-09-02 09:29:32,Misc Income,219.69,Income,Deposit
2023-09-02 10:48:41,Books,-42.73,Books,Expense
2023-09-02 11:14:29,Groceries,-35.63,Groceries,Expense
2023-09-02 12:02:59,Misc Income,66.12,Income,Deposit
2023-09-02 19:40:12,Books,-47.5,Books,Expense
2023-09-02 21:02:47,Dining Out,-10.33,Dining Out,Expense
2023-09-02 23:41:12,Utilities,-54.61,Utilities,Expense
2023-09-03 00:14:14,Dining Out,-21.29,Dining Out,Expense
2023-09-03 04:59:03,Groceries,-74.1,Groceries,Expense
2023-09-03 05:37:48,Groceries,-64.96,Groceries,Expense
2023-09-03 07:30:00,Starbucks,-4.25,Coffee,Expense
2023-09-03 09:56:43,Dining Out,-39.7,Dining Out,Expense
2023-09-03 12:23:56,Books,-45.82,Books,Expense
2023-09-03 12:44:17,Misc Income,59.17,Income,Deposit
2023-09-03 17:42:01,Dining Out,-20.83,Dining Out,Expense
2023-09-03 22:36:57,Utilities,-44.28,Utilities,Expense
2023-09-03 23:14:09,Groceries,-46.76,Groceries,Expense
2023-09-03 23:19:03,Books,-55.61,Books,Expense
2023-09-04 04:51:01,Online Subscription,-15.45,Online Subscription,Expense
2023-09-04 06:02:39,Dining Out,-30.18,Dining Out,Expense
2023-09-04 07:30:00,Starbucks,-4.78,Coffee,Expense
2023-09-04 11:46:37,Books,-57.65,Books,Expense
2023-09-04 12:54:42,Transportation,-11.82,Transportation,Expense
2023-09-04 13:15:18,Misc Income,209.75,Income,Deposit
2023-09-04 15:51:42,Books,-34.11,Books,Expense
2023-09-04 17:11:29,Groceries,-81.24,Groceries,Expense
2023-09-04 21:10:48,Groceries,-35.64,Groceries,Expense
2023-09-04 21:21:59,Misc Income,53.95,Income,Deposit
2023-09-04 22:29:54,Misc Income,187.88,Income,Deposit
2023-09-05 01:38:23,Books,-24.83,Books,Expense
2023-09-05 01:46:38,Utilities,-36.5,Utilities,Expense
2023-09-05 02:45:26,Groceries,-77.84,Groceries,Expense
2023-09-05 02:56:50,Transportation,-7.45,Transportation,Expense
2023-09-05 07:04:53,Online Subscription,-11.12,Online Subscription,Expense
2023-09-05 07:30:00,Starbucks,-4.62,Coffee,Expense
2023-09-05 08:41:55,Groceries,-24.99,Groceries,Expense
2023-09-05 13:19:16,Dining Out,-32.32,Dining Out,Expense
2023-09-05 13:45:15,Dining Out,-29.67,Dining Out,Expense
2023-09-05 20:54:51,Transportation,-11.62,Transportation,Expense
2023-09-05 23:50:21,Books,-44.62,Books,Expense
2023-09-06 06:17:34,Utilities,-52.91,Utilities,Expense
2023-09-06 06:40:07,Dining Out,-11.26,Dining Out,Expense
2023-09-06 06:58:19,Books,-55.02,Books,Expense
2023-09-06 07:24:55,Online Subscription,-17.65,Online Subscription,Expense
2023-09-06 07:30:00,Starbucks,-4.29,Coffee,Expense
2023-09-06 10:51:38,Dining Out,-23.51,Dining Out,Expense
2023-09-06 13:29:30,Misc Income,245.98,Income,Deposit
2023-09-06 21:32:50,Transportation,-15.02,Transportation,Expense
2023-09-06 21:53:13,Transportation,-8.45,Transportation,Expense
2023-09-06 23:32:27,Misc Income,220.47,Income,Deposit
2023-09-06 23:48:35,Misc Income,166.94,Income,Deposit
2023-09-07 02:42:07,Groceries,-93.04,Groceries,Expense
2023-09-07 02:51:45,Transportation,-29.12,Transportation,Expense
2023-09-07 05:55:50,Dining Out,-32.01,Dining Out,Expense
2023-09-07 07:30:00,Starbucks,-3.59,Coffee,Expense
2023-09-07 07:50:25,Online Subscription,-10.3,Online Subscription,Expense
2023-09-07 11:35:47,Misc Income,297.37,Income,Deposit
2023-09-07 12:36:07,Online Subscription,-12.62,Online Subscription,Expense
2023-09-07 15:07:25,Groceries,-28.0,Groceries,Expense
2023-09-07 17:43:59,Misc Income,202.53,Income,Deposit
2023-09-07 18:39:28,Groceries,-67.82,Groceries,Expense
2023-09-07 19:02:56,Books,-20.86,Books,Expense
2023-09-08 00:11:09,Books,-54.34,Books,Expense
